Stellenanzeige,Bewerbungsgespräch,2.25,n,n
verantwortlich,Amt,2.25,a,n
Aussage,Rede,2.38,n,n
beginnen,dauern,2.38,v,v
Bewerbung,Job,2.38,n,n
dringend,rasch,2.38,a,a
Franzose,Deutscher,2.38,n,n
Montag,November,2.38,n,n
Studierende,Note,2.38,n,n
Van,Sports-Tourer,2.38,n,n
Volierenzelt,Käfig,2.38,n,n
aufklären,erklären,2.5,v,v
beschuldigen,Mitschuld,2.5,v,n
erklären,begründen,2.5,v,v
Generation,Jugendlicher,2.5,n,n
Kompaktvan,Modell,2.5,n,n
machen,ausüben,2.5,v,v
Macht,Reich,2.5,n,n
Prüfung,Zeugnis,2.5,n,n
Topmanagement,Job,2.5,n,n
untersuchen,suchen,2.5,v,v
verkaufen,bezahlen,2.5,v,v
vorankommen,Entwicklung,2.5,v,n
Design,Optik,2.63,n,n
Designer,Eleganz,2.63,n,n
Doktorandin,Dissertationsthema,2.63,n,n
entwickeln,Entwicklungschef,2.63,v,n
Erwachsener,Kinder,2.63,n,n
fokussieren,Aufmerksamkeit,2.63,v,n
Gehege,Zoo,2.63,n,n
Gewalt,Frieden,2.63,n,n
Gewalt,Kämpfer,2.63,n,n
informieren,erfahren,2.63,v,v
Mercedes,Premium-Hersteller,2.63,n,n
Natur,künstlich,2.63,n,a
Petersdom,Inaugurationsmesse,2.63,n,n
riesig,üppig,2.63,a,a
Studium,arbeiten,2.63,n,v
Tier,Natur,2.63,n,n
Überzeugung,Zweifel,2.63,n,n
Zielstrebigkeit,Erfolg,2.63,n,n
Arbeitssuchender,Bewerbung,2.75,n,n
aufzeichnen,schreiben,2.75,v,v
Bayern,weißblau,2.75,n,a
Behörde,Vorschrift,2.75,n,n
Durchsicht,sehen,2.75,n,v
einfach,komplex,2.75,a,a
einsteigen,aussteigen,2.75,v,v
Frau,Familie,2.75,n,n
Hand,Mensch,2.75,n,n
Hoffnung,Resignation,2.75,n,n
Jäger,Wald,2.75,n,n
Luft,Leben,2.75,n,n
Motor,Hubraum,2.75,n,n
nachgehen,untersuchen,2.75,v,v
Pass,Reiseschutzpass,2.75,n,n
rot-weiß,weißblau,2.75,a,a
Schwabe,sparen,2.75,n,v
Studie,Ergebnis,2.75,n,n
Tag,Stunde,2.75,n,n
Topmanagement,Unternehmen,2.75,n,n
Hunger,Armut,2.88,n,n
Mai,Januar,2.88,n,n
plätschern,Wasser,2.88,v,n
Umfrage,Quartalsumfrage,2.88,n,n
Benziner,Dieselversion,3,n,n
Bild,Röntgenaufnahme,3,n,n
Bild,visuell,3,n,a
Büro,Schreibtisch,3,n,n
erkennen,sehen,3,v,v
fahren,Automobil,3,v,n
finden,herausfinden,3,v,v
Geschlecht,Mann,3,n,n
Honorarbasis,bezahlen,3,n,v
Hunderttausend,Menge,3,n,n
mitteilen,Nachricht,3,v,n
Post,Portokosten,3,n,n
Studium,Beruf,3,n,n
suchen,finden,3,v,v
Tätigkeit,Arbeit,3,n,n
Tierpark,Giraffe,3,n,n
verschicken,Post,3,v,n
Wien,deutschsprachig,3,n,a
Aufpreis,Grundpreis,3.13,n,n
Bild,Grafik,3.13,n,n
erforschen,herausfinden,3.13,v,v
Gepäckkontrolle,Flughafen,3.13,n,n
Innenspiegel,Auto,3.13,n,n
männlich,Weiblich,3.13,a,a
Meinung,Überzeugung,3.13,n,n
objektiv,subjektiv,3.13,a,a
Platz,Petersplatz,3.13,n,n
sagen,mitteilen,3.13,v,v
Stoiber,Ministerpräsident,3.13,n,n
weit,nahe,3.13,a,a
Welle,Surfer,3.13,n,n
Aufstieg,Erfolg,3.25,n,n
beinhalten,umfassen,3.25,v,v
Deutschland,Europa,3.25,n,n
Frage,Antwort,3.25,n,n
Frau,Mann,3.25,n,n
geben,nehmen,3.25,v,v
Gehirn,Kortex,3.25,n,n
Internetseite,herunterladen,3.25,n,v
Kopfairbag,Seitenairbag,3.25,n,n
leben,Tod,3.25,v,n
lustig,Witz,3.25,a,n
Minister,Politiker,3.25,n,n
Problem,Schwierigkeit,3.25,n,n
Tod,Beerdigung,3.25,n,n
Vatikan,Katholik,3.25,n,n
vergangen,damalig,3.25,a,a
Zebra,Tier,3.25,n,n
Aussage,sagen,3.38,n,v
Berlin,Berlin-Kreuzberg,3.38,n,n
filtern,selektieren,3.38,v,v
Fisch,schwimmen,3.38,n,v
helfen,unterstützen,3.38,v,v
Kind,Familie,3.38,n,n
Lied,singen,3.38,n,v
Minister,Außenminister,3.38,n,n
Minister,Ministerpräsident,3.38,n,n
Papst,Kirche,3.38,n,n
Pontifikat,Papst,3.38,n,n
Prozentzeichen,Symbol,3.38,n,n
Ratzinger,Papst,3.38,n,n
Schrank,Küchenschrank,3.38,n,n
Schwabe,Stuttgarter,3.38,n,n
Sohn,Vater,3.38,n,n
Tag,Donnerstag,3.38,n,n
Absage,ablehnen,3.5,n,v
Auto,fahren,3.5,n,v
Bayern,Deutschland,3.5,n,n
Deutscher,Bundesbürger,3.5,n,n
Einrichtung,Interior,3.5,n,n
Einsamkeit,allein,3.5,n,a
Eltern,Vater,3.5,n,n
Hirnsignal,Neuronenaktivität,3.5,n,n
Linguistik,Wissenschaft,3.5,n,n
Suchstrategie,suchen,3.5,n,v
Beamte,Amt,3.63,n,n
Benedetto,Benedikt,3.63,n,n
filtern,herausfiltern,3.63,v,v
Flaschenöffner,Küchenwerkzeug,3.63,n,n
machen,anfertigen,3.63,v,v
Unternehmen,Firma,3.63,n,n
verantwortlich,zuständig,3.63,a,a
Vernehmung,vernommen,3.63,n,v
Wirtschaftsprofessor,Professor,3.63,n,n
Kaffeetasse,Tasse,3.75,n,n
Kamera,TV-Kamera,3.75,n,n
schauen,sehen,3.75,v,v
Airbag,Kopfairbag,3.88,n,n
analysieren,Analyse,3.88,v,n
deutsch,Deutscher,3.88,a,n
formulieren,Formulierung,3.88,v,n
Forscher,Wissenschaftler,3.88,n,n
Frust,frustrieren,3.88,n,v
Glück,glücklich,3.88,n,a
Hirn,Gehirn,3.88,n,n
Objekt,Gegenstand,3.88,n,n
Relevanz,relevant,3.88,n,a
teuer,kostspielig,3.88,a,a
Affe,Makake,4,n,n
Bayern,Bayerisch,4,n,a
Demut,demütig,4,n,a
Ding,Gegenstand,4,n,n
Erfolg,erfolgreich,4,n,a
Studium,studieren,4,n,v
Witz,Joke,4,n,n
